epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,363.998,0.8888,0.69464,1.11028,0.76544,0.73927,0.75962,0.48203,1.32244,0.83168,1.53477,0.000150429,0.000150429,0.000150429
133,366.517,0.85051,0.63598,1.10844,0.77212,0.74425,0.762,0.48317,1.33827,0.82787,1.55234,0.000143097,0.000143097,0.000143097
134,369.014,0.84064,0.6473,1.07608,0.77635,0.7454,0.76369,0.48865,1.33197,0.81779,1.54405,0.000135764,0.000135764,0.000135764
135,371.633,0.82367,0.62606,1.07426,0.77668,0.74261,0.75703,0.48767,1.32498,0.80706,1.53711,0.000128432,0.000128432,0.000128432
136,374.227,0.8596,0.66367,1.11349,0.81078,0.73586,0.76453,0.49355,1.31621,0.81219,1.52676,0.000121099,0.000121099,0.000121099
137,376.865,0.81291,0.63635,1.07753,0.80749,0.73875,0.76391,0.49371,1.32825,0.82342,1.53278,0.000113766,0.000113766,0.000113766
138,379.542,0.81369,0.60453,1.07418,0.81518,0.74936,0.77246,0.49517,1.33699,0.81859,1.54238,0.000106434,0.000106434,0.000106434
139,382.101,0.82969,0.61269,1.098,0.78743,0.75409,0.76974,0.49634,1.33532,0.82032,1.54283,9.91012e-05,9.91012e-05,9.91012e-05
140,384.755,0.85481,0.65823,1.09971,0.7871,0.75371,0.76754,0.49957,1.31283,0.82336,1.52188,9.17686e-05,9.17686e-05,9.17686e-05
141,389.095,0.99605,0.64469,1.05938,0.78404,0.75721,0.76648,0.50144,1.30187,0.81676,1.51497,8.4436e-05,8.4436e-05,8.4436e-05
142,391.534,0.90158,0.6083,1.05548,0.78277,0.7603,0.7703,0.50692,1.29952,0.80689,1.51761,7.71034e-05,7.71034e-05,7.71034e-05
143,394.082,0.87543,0.58417,1.03749,0.7789,0.7627,0.77017,0.50323,1.31058,0.80804,1.53688,6.97708e-05,6.97708e-05,6.97708e-05
144,396.554,0.92872,0.59664,1.05421,0.7821,0.76764,0.76981,0.4955,1.3326,0.80787,1.56145,6.24382e-05,6.24382e-05,6.24382e-05
145,398.971,0.91346,0.59033,1.05491,0.77627,0.76852,0.76907,0.49394,1.32285,0.80407,1.54144,5.51056e-05,5.51056e-05,5.51056e-05
146,401.567,0.89963,0.56644,1.01596,0.78028,0.76171,0.76674,0.48953,1.30808,0.79662,1.52011,4.7773e-05,4.7773e-05,4.7773e-05
147,404.104,0.88785,0.56897,1.00965,0.77902,0.76293,0.76897,0.49491,1.29014,0.78865,1.50027,4.04404e-05,4.04404e-05,4.04404e-05
148,406.739,0.84475,0.5374,1.00153,0.76668,0.76958,0.76377,0.49671,1.27579,0.79037,1.49574,3.31078e-05,3.31078e-05,3.31078e-05
149,409.335,0.83031,0.5442,1.00508,0.86882,0.71761,0.76534,0.50022,1.27148,0.79051,1.49738,2.57752e-05,2.57752e-05,2.57752e-05
150,411.954,0.83603,0.54628,0.98237,0.8735,0.72199,0.76577,0.49768,1.2698,0.79576,1.5,1.84426e-05,1.84426e-05,1.84426e-05
